letter,target
а,0
к,0
т,0
е,1
р,0

,0
а,0
к,0
т,0
е,1
р,0
с,0
т,0
в,0
о,0

,0
а,0
к,0
т,0
е,1
р,0
с,0
т,0
в,0
о,0
в,0
а,0
т,0
ь,0

,0
а,0
к,0
у,0
ш,0
е,1
р,0

,0
а,0
к,0
у,0
ш,0
е,1
р,0
к,0
а,0

,0
а,0
к,0
у,0
ш,0
е,1
р,0
с,0
к,0
и,0
й,0

,0
а,0
к,0
у,0
ш,0
е,1
р,0
с,0
т,0
в,0
о,0

,0
а,0
л,0
т,0
а,0
р,0
е,1
м,0

,0
а,0
м,0
е,1
б,0
а,0

,0
а,0
н,0
т,0
р,0
е,0
п,0
р,0
е,0
н,0
е,1
р,0

,0
а,0
п,0
а,0
ш,0
е,0
м,0

,0
а,0
р,0
т,0
и,0
ш,0
о,0
к,0

,0
а,0
т,0
л,0
е,0
т,0

,0
а,0
т,0
л,0
е,0
т,0
и,0
к,0
а,0

,0
а,0
ф,0
е,0
р,0
а,0

,0
б,0
а,0
г,0
а,0
ж,0
о,0
м,0

,0
б,0
а,0
г,0
р,0
е,1
н,0
н,0
ы,0
й,0

,0
б,0
а,0
г,0
р,0
е,1
н,0

,0
б,0
а,0
г,0
р,0
е,0
н,0
а,0

,0
б,0
а,0
г,0
р,0
е,0
н,0
о,0

,0
б,0
а,0
г,0
р,0
е,0
н,0
н,0
ы,0
й,0

,0
б,0
а,0
г,0
р,0
е,0
н,0

,0
б,0
а,0
г,0
р,0
е,0
н,0
а,0

,0
б,0
а,0
г,0
р,0
е,0
н,0
о,0

,0
б,0
а,0
д,0
ь,0
е,1
й,0

,0
б,0
а,0
л,0
а,0
н,0
с,0
е,1
р,0

,0
б,0
а,0
л,0
ы,0
ч,0
о,0
к,0

,0
б,0
а,0
н,0
д,0
а,0
ж,0
е,0
м,0

,0
б,0
а,0
н,0
д,0
а,0
ж,0
о,0
м,0

,0
б,0
а,0
н,0
к,0
о,0
м,0
е,1
т,0

,0
б,0
а,0
н,0
ч,0
о,0
к,0

,0
б,0
а,0
р,0
ж,0
е,0
й,0

,0
б,0
а,0
р,0
ч,0
о,0
н,0
о,0
к,0

,0
б,0
а,0
р,0
ы,0
ш,0
о,0
м,0

,0
б,0
а,0
с,0
м,0
а,0
ч,0
о,0
м,0

,0
б,0
а,0
т,0
а,0
л,0
ь,0
о,0
н,0
 ,0

,0
б,0
а,0
т,0
а,0
л,0
ь,0
о,0
н,0
н,0
ы,0
й,0

,0
б,0
а,0
т,0
о,0
ж,0
о,0
к,0

,0
б,0
а,0
т,0
о,0
ж,0
ь,0
е,1

,0
б,0
а,0
т,0
о,0
ж,0
ь,0
е,1
м,0

,0
б,0
а,0
х,0
ч,0
о,0
й,0

,0
б,0
а,0
ч,0
о,0
к,0

,0
б,0
а,0
ш,0
м,0
а,0
ч,0
о,0
к,0

,0
б,0
е,0
г,0
о,0
т,0
н,0
е,1
й,0

,0
б,0
е,0
д,0
е,0
р,0
н,0
ы,0
й,0

,0
б,0
е,0
д,0
е,1
р,0
и,0
ы,0
й,0

,0
б,0
е,1
д,0
р,0
а,0

,0
б,0
е,0
з,0
н,0
а,0
д,0
е,1
ж,0
н,0
о,0
с,0
т,0
ь,0

,0
б,0
е,0
з,0
н,0
а,0
д,0
е,0
ж,0
н,0
о,0
с,0
т,0
ь,0

,0
б,0
е,0
з,0
н,0
а,0
д,0
е,1
ж,0
н,0
ы,0
й,0

,0
б,0
е,0
з,0
н,0
а,0
д,0
е,1
ж,0
н,0
ы,0
й,0

,0
б,0
е,0
з,0
о,0
т,0
ч,0
е,0
т,0
н,0
о,0
с,0
т,0
ь,0

,0
б,0
е,0
з,0
о,0
т,0
ч,0
е,1
т,0
н,0
ы,0
й,0

,0
б,0
е,0
з,0
р,0
а,0
с,0
ч,0
е,1
т,0
н,0
ы,0
й,0

,0
б,0
е,0
з,0
у,0
п,0
р,0
е,0
ч,0
н,0
ы,0
й,0

,0
у,0
п,0
р,0
е,1
к,0

,0
б,0
е,0
з,0
ы,0
м,0
е,1
н,0
н,0
ы,0
й,0

,0
б,0
е,0
з,0
ы,0
м,0
е,0
н,0
н,0
ы,0
й,0

,0
б,0
е,0
л,0
е,1
н,0
н,0
ы,0
й,0

,0
б,0
е,0
л,0
е,1
н,0

,0
б,0
е,0
л,0
е,0
н,0
а,0

,0
б,0
е,0
л,0
е,0
н,0
о,0

,0
б,0
е,0
л,0
е,1
н,0
ы,0
й,0

,0
б,0
е,0
л,0
ь,0
е,1

,0
б,0
е,0
л,0
ь,0
е,1
м,0

,0
б,0
е,1
р,0
д,0
о,0

,0
б,0
е,0
р,0
е,1
г,0
с,0
я,0

,0
б,0
е,0
р,0
е,0
ч,0
ь,0
с,0
я,0

,0
б,0
е,0
р,0
е,0
ж,0
е,1
н,0
ы,0
й,0

,0
б,0
е,0
р,0
е,0
ж,0
е,1
т,0

,0
б,0
е,0
р,0
е,0
ж,0
е,1
т,0
с,0
я,0

,0
б,0
е,0
р,0
е,0
ж,0
о,0
к,0

,0
б,0
е,0
р,0
е,1
з,0
а,0

,0
б,0
е,0
р,0
е,1
з,0
к,0
а,0

,0
б,0
е,0
р,0
е,1
з,0
н,0
и,0
к,0

,0
б,0
е,0
р,0
е,1
з,0
о,0
в,0
и,0
к,0

,0
б,0
е,0
р,0
е,1
з,0
о,0
в,0
ы,0
й,0

,0
б,0
е,0
р,0
е,1
з,0
о,0
н,0
ь,0
к,0
а,0

,0
б,0
е,0
р,0
е,1
с,0
т,0
а,0

,0
б,0
е,0
р,0
е,0
с,0
т,0
а,0

,0
б,0
е,0
р,0
е,1
с,0
т,0
о,0
в,0
ы,0
й,0

,0
б,0
е,0
р,0
е,1
т,0

,0
б,0
е,0
р,0
е,1
т,0
с,0
я,0

,0
б,0
е,1
р,0
ц,0
е,0

,0
б,0
е,0
р,0
ц,0
о,0

,0
б,0
е,0
с,0
е,1
н,0
о,0
к,0

,0
б,0
е,0
с,0
с,0
ч,0
е,1
т,0
н,0
ы,0
й,0

,0
б,0
е,0
с,0
ш,0
о,0
в,0
н,0
ы,0
й,0

,0
б,0
е,0
ч,0
е,1
в,0
к,0
а,0

,0
б,0
е,0
ч,0
е,1
в,0
о,0
ч,0
н,0
ы,0
й,0

,0
б,0
и,0
л,0
е,0
т,0
е,1
р,0

,0
б,0
и,0
л,0
е,0
т,0
е,1
р,0
ш,0
а,0

,0
б,0
и,0
р,0
ю,0
ч,0
о,0
м,0

,0
б,0
и,0
т,0
ь,0
е,1

,0
б,0
и,0
т,0
ь,0
е,1
м,0

,0
б,0
и,0
ч,0
о,0
м,0

,0
б,0
л,0
а,0
г,0
о,0
н,0
а,0
д,0
е,1
ж,0
н,0
о,0
с,0
т,0
ь,0

,0
б,0
л,0
а,0
г,0
о,0
н,0
